Substance,Mole Fraction (Xi)
H2,0.0003742920185322401 %
H,2.1977013566365028e-05 %
O,0.0013008934628180508 %
O2,7.683339477824508 %
OH,0.03031542216482955 %
H2O,5.1120159404673 %
HO2,0.0003632421869305768 %
H2O2,3.774172212921323e-05 %
C,3.949139111844598e-31 %
CH,4.2102466331879494e-26 %
CH2,3.561442803337321e-23 %
CH2(S),4.020497224252057e-24 %
CH3,7.700108172597539e-21 %
CH4,6.576688848208035e-21 %
CO,2.6240830609607423e-17 %
CO2,7.527671280296404e-14 %
HCO,2.185988907082422e-23 %
CH2O,5.8346684305500165e-21 %
CH2OH,8.96828200148894e-24 %
CH3O,1.0182718619092007e-23 %
CH3OH,2.805711830492472e-21 %
C2H,-1.032911277693146e-30 %
C2H2,-1.7360436516853034e-27 %
C2H3,1.6577904850121428e-30 %
C2H4,-1.3418810266527976e-26 %
C2H5,-3.4934483278768277e-28 %
C2H6,-3.0185231138054574e-27 %
HCCO,2.8871202775125795e-24 %
CH2CO,4.277054949325738e-22 %
HCCOH,3.315891455863703e-27 %
N,-2.2069311627727733e-35 %
NH,-9.660091736561422e-35 %
NH2,-2.069321782884993e-33 %
NH3,-1.355792619250217e-32 %
NNH,2.809690575052602e-38 %
NO,-6.8834153541937285e-28 %
NO2,-1.024557210202263e-29 %
N2O,-4.190560129030086e-32 %
HNO,-5.160192399617948e-33 %
CN,5.550528242465632e-37 %
HCN,1.767042144361979e-33 %
H2CN,3.027996143667134e-38 %
HCNN,6.462818557127052e-38 %
HCNO,1.362884147780965e-31 %
HOCN,1.5123170037784248e-32 %
HNCO,1.0234884751169079e-32 %
NCO,1.8639473666071634e-34 %
N2,7.324437522632807e-29 %
AR,87.17223101313931 %
C3H7,-2.972126082960904e-34 %
C3H8,9.54727626453496e-36 %
CH2CHO,1.9490708765741138e-24 %
CH3CHO,3.57524996498139e-20 %
